시설명,공원명,위치,면수,시설면적,총 면적,관리기관,관리자연락처,데이터기준일자
배드민턴장,동탄2 제2호 체육공원,산척동,2,360,5312,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,"동탄2 제2호 근린공원(이음터, 선납숲공원)",영천동,1,3872,5591.2,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,"동탄2 제2호 근린공원(이음터, 선납숲공원)",영천동,1,879.2,5591.2,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,"동탄2 제2호 근린공원(이음터, 선납숲공원)",영천동,1,640,5591.2,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,"동탄2 제2호 근린공원(이음터, 선납숲공원)",영천동,1,200,5591.2,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄2 제11호 근린공원,오산동,1,242.804,242.804,화성도시공사 체육시설1부,031-355-1292,2024-12-31
다목적구장,동탄2 제13호 근린공원,오산동,1,362.5596,362.5596,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,동탄2 제14호 근린공원,산척동,1,320,320,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄2 제19호 근린공원(이음터)<목동중 이음터>,목동 ,1,2552,3367.8,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,동탄2 제19호 근린공원(이음터)<목동중 이음터>,목동 ,1,690.8,3367.8,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,동탄2 제19호 근린공원(이음터)<목동중 이음터>,목동 ,1,125,3367.8,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,동탄2 제20호 근린공원,송동 ,2,891,891,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄2 제21호 근린공원,산척동,1,180,180,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,능동 제4호 어린이공원,능동 ,1,162,162,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,동탄 물류단지,신동 ,1,222.308,302.308,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄 물류단지,신동 ,1,80,302.308,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,제23호 근린공원생활체육마당,송동 ,1,125,339,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,제23호 근린공원생활체육마당,송동 ,1,214,339,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,제24호 근린공원송방3교(동탄대로)하부,산척동,1,,364,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,제24호 근린공원송방3교(동탄대로)하부,산척동,2,364,364,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,제24호 근린공원생활체육마당,산척동,1,1075,1709,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,제24호 근린공원생활체육마당,산척동,1,317,1709,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,제24호 근린공원생활체육마당,산척동,2,317,1709,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,제24호 근린공원복합운동장<<송방천>>,산척동,1,2356,3445,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,제24호 근린공원복합운동장<<송방천>>,산척동,1,697,3445,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,제24호 근린공원복합운동장<<송방천>>,산척동,1,392,3445,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,제30호 근린공원,장지동,2,290,290,화성도시공사 체육시설1부,031-355-1292,2024-12-31
X게임장,근린공원 13호(신리천공원),목동 ,1,1038.13,2576.13,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,근린공원 13호(신리천공원),목동 ,1,1538,,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,방아다리공원,방교동,1,608,1108,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,방아다리공원,방교동,1,500,1108,화성도시공사 체육시설1부,031-355-1292,2024-12-31
야구장,동탄 소라공원,방교동,1,16000,16078,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄 소라공원,방교동,1,78,16078,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,서작현 어린이공원,송산동,1,407,512,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,서작현 어린이공원,송산동,1,105,512,화성도시공사 체육시설1부,031-355-1292,2024-12-31
실내체육관,다람산공원 다목적체육관,진안동,1,998,998,화성도시공사 체육시설1부,031-355-1292,2024-12-31
실내체육관,동탄 다목적체육관,반송동,1,999,999,화성도시공사 체육시설1부,031-355-1292,2024-12-31
실내체육관,기배 다목적체육관,기안남,1,1088,1088,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,반월동 나노시티파크,반월동,1,608,608,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,반월동 나노시티파크,반월동,1,475,475,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,오산리천 6교하부,청계동,1,180,180,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,동탄2 제4호 체육공원,오산동,1,,4668,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,동탄2 제4호 체육공원,오산동,1,,4668,화성도시공사 체육시설1부,031-355-1292,2024-12-31
실내체육관,화성시 실내배드민턴장,오산동,20,4668,4668,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,구문천근린공원,향남읍 구문천리,2,260,260,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,하길근린공원,향남읍 하길리 ,1,4500,5130,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,하길근린공원,향남읍 하길리 ,1,180,5130,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,하길근린공원,향남읍 하길리 ,1,450,5130,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,마도근린공원,마도면 쌍송리 ,1,5400,7080,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,마도근린공원,마도면 쌍송리 ,2,520,7080,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,마도근린공원,마도면 쌍송리 ,1,540,7080,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,마도근린공원,마도면 쌍송리 ,1,620,7080,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,쌍봉산근린공원,우정읍 조암리 ,1,6400,8400,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
인라인스케이트장,쌍봉산근린공원,우정읍 조암리 ,1,1400,8400,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,쌍봉산근린공원,우정읍 조암리 ,2,600,8400,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,옴뿌리산 근린공원,향남읍 발안리 ,1,180,180,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,화성추모공원,비봉면 청요리 ,1,300,300,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,도원체육공원,향남읍 행정리 ,1,14350,24060,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
테니스장,도원체육공원,향남읍 행정리 ,4,2570,24060,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,도원체육공원,향남읍 행정리 ,1,500,24060,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,도원체육공원,향남읍 행정리 ,2,2570,24060,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,도원체육공원,향남읍 행정리 ,1,600,24060,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
X게임장,도원체육공원,향남읍 행정리 ,1,1425,24060,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,도원체육공원,향남읍 행정리 ,2,1400,24060,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,죽전공원,향남읍 행정리 ,1,400,955,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
배드민턴장,죽전공원,향남읍 행정리 ,3,450,955,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,죽전공원,향남읍 행정리 ,1,105,955,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,평원공원,향남읍 행정리 ,1,340,340,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,장안2첨단산업단지 내 공원,장안면 수촌리 ,1,2270,3240,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,장안2첨단산업단지 내 공원,장안면 수촌리 ,1,560,3240,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,장안2첨단산업단지 내 공원,장안면 수촌리 ,2,410,3240,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,벌말공원,향남읍 행정리 ,1,720,720,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,송곡공원,향남읍 행정리 ,1,530,530,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,용현공원,향남읍,1,450,2590,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
그라운드골프장,용현공원,향남읍,1,1890,2590,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
배드민턴장,용현공원,향남읍,1,250,2590,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,매송안보테마공원,매송면 원평리 ,1,7700,10771,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내체육관,매송안보테마공원,매송면 원평리 ,1,1000,10771,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
테니스장,매송안보테마공원,매송면 원평리 ,1,1662,10771,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,매송안보테마공원,매송면 원평리 ,1,257,10771,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,매송안보테마공원,매송면 원평리 ,1,152,10771,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
배드민턴장,작은배틀공원,향남읍 행정리 ,1,140,140,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,천천리 가로공원,매송면 천천리 ,1,1560,1560,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,수촌소공원,장안면 수촌리 ,1,370,370,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,알음공원,장안면 독정리 ,1,370,370,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,장안(금의)산단소공원,장안면 금의리 ,1,276,476,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,장안(금의)산단소공원,장안면 금의리 ,1,200,476,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,송산3.1기념공원,송산면 사강리 ,1,350,350,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,전곡산단공원1,서신면 장외리 ,1,608,8098,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,전곡산단공원1,서신면 장외리 ,1,7140,8098,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,전곡산단공원1,서신면 장외리 ,1,350,8098,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,전곡산단공원2,서신면 전곡리 ,1,544,544,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,전곡산단공원3,서신면 전곡리 ,1,924,1546,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,전곡산단공원3,서신면 전곡리 ,1,544,1546,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
배드민턴장,전곡산단공원3,서신면 전곡리 ,2,78,1546,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
다목적구장,전곡산단공원4,서신면 장외리 ,1,264,264,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,장안근린공원1호,장안면 수촌리 ,1,270,270,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
궁도장,화성시 궁도장(화성정),향남읍 도이리 ,4,10878,10878,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
야구장,향남 야구장,향남읍 도이리 ,1,15885,15885,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,매송체육공원,매송면 원평리 ,1,2664,3389,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,매송체육공원,매송면 원평리 ,2,300,3389,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,매송체육공원,매송면 원평리 ,1,210,3389,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,매송체육공원,매송면 원평리 ,1,137,3389,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
배드민턴장,매송체육공원,매송면 원평리 ,1,78,3389,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,향남2지구,향남읍 상신리 ,1,7245,18180,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,향남2지구,향남읍 상신리 ,1,800,18180,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,향남2지구,향남읍 상신리 ,1,594,18180,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
인라인스케이트장,향남2지구,향남읍 상신리 ,1,1416,18180,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
배드민턴장,향남2지구,향남읍 상신리 ,4,594,18180,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,향남2지구,향남읍 상신리 ,1,414,18180,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
파크골프장,향남2지구,향남읍 하길리 ,9,7117,18180,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,서부권(송산) 체육시설,송산면 삼존리 ,1,8778,12198,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,서부권(송산) 체육시설,송산면 삼존리 ,2,1240,12198,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
그라운드골프장,서부권(송산) 체육시설,송산면 삼존리 ,1,2180,12198,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
야구장,정남 용수교둔치,정남면 발산리 ,1,8100,26240,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,정남 용수교둔치,정남면 발산리 ,1,7140,26240,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,정남 용수교둔치,정남면 발산리 ,3,2800,26240,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
기타체육,정남 용수교둔치,정남면 발산리 ,1,8200,26240,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,남양 제3호 근린공원,남양읍 남양리 ,1,440,440,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
테니스장,남양 테니스장,남양읍 남양리 ,4,4400,4400,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,장안남산체육공원,장안면 사랑리 ,1,6400,9034,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,장안남산체육공원,장안면 사랑리 ,1,420,9034,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,장안남산체육공원,장안면 사랑리 ,1,456,9034,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,장안남산체육공원,장안면 사랑리 ,1,800,9034,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
테니스장,장안남산체육공원,장안면 사랑리 ,1,666,9034,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
X게임장,장안남산체육공원,장안면 사랑리 ,1,292,9034,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
궁도장,가축분뇨공공처리시설 ,마도면 청원리 ,4,4110,4110,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
테니스장,사강리 동네체육시설,송산면 사강리 ,4,2560,2560,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,경기화성바이오밸리 체육시설,마도면 청원리 ,1,390,5985,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,경기화성바이오밸리 체육시설,마도면 청원리 ,1,4675,5985,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
테니스장,경기화성바이오밸리 체육시설,마도면 청원리 ,1,920,5985,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,봉담-과천 고속도로 하부 체육시설,봉담읍 수영리 ,1,1269,2425,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
